  0.000000     1.07475528011566E+04
  0.015625     1.05276853891357E+04
  0.031250     1.01336322565321E+04
  0.046875     9.64530430846843E+03
  0.062500     9.02000640241708E+03
  0.078125     8.31288460576352E+03
  0.093750     7.52964800096136E+03
  0.109375     6.72449127451042E+03
  0.125000     5.93011636410948E+03
  0.140625     5.11329317786837E+03
  0.156250     4.31630841326826E+03
  0.171875     3.57011461519348E+03
  0.187500     2.86831149061376E+03
  0.203125     2.24403307171170E+03
  0.218750     1.69830339903532E+03
  0.234375     1.25736190786940E+03
  0.250000     9.58747196724743E+02
  0.265625     7.96664582689369E+02
  0.281250     7.92978434435398E+02
  0.296875     9.47521957676091E+02
  0.312500     1.26427592170362E+03
  0.328125     1.72285744631260E+03
  0.343750     2.24713171387820E+03
  0.359375     2.82715909042711E+03
  0.375000     3.43225557409899E+03
  0.390625     4.07749182966154E+03
  0.406250     4.69027862661206E+03
  0.421875     5.31410221990463E+03
  0.437500     5.84846543292717E+03
  0.453125     6.33937303226166E+03
  0.468750     6.73535006774406E+03
  0.484375     7.06476351557246E+03
  0.500000     7.29387930384683E+03
  0.515625     7.42877288571606E+03
  0.531250     7.45502726494927E+03
  0.546875     7.37105149040186E+03
  0.562500     7.18063645998989E+03
  0.578125     6.89887995689501E+03
  0.593750     6.54045231981699E+03
  0.609375     6.09943497046506E+03
  0.625000     5.60564955487835E+03
  0.640625     5.05977007869869E+03
  0.656250     4.52111183306164E+03
  0.671875     3.95176875562442E+03
  0.687500     3.39997707228204E+03
  0.703125     2.86058340093033E+03
  0.718750     2.39303772396525E+03
  0.734375     2.09407860516833E+03
  0.750000     2.02800269845396E+03
  0.765625     2.15577465510315E+03
  0.781250     2.50668038012623E+03
  0.796875     3.01361428939201E+03
  0.812500     3.67281298703997E+03
  0.828125     4.42135790349203E+03
  0.843750     5.27780069631989E+03
  0.859375     6.14410040583173E+03
  0.875000     7.04609286629499E+03
  0.890625     7.88417615613498E+03
  0.906250     8.71660152742352E+03
  0.921875     9.44429452381675E+03
  0.937500     1.00013395701721E+04
  0.953125     1.04363645454265E+04
  0.968750     1.07267250160102E+04
  0.984375     1.08287203792533E+04
