parameter,bin_index,bin_left,bin_right,bin_center,exp_normalized_loglikelihood
param_1,60,0.42,0.4269999999999999,0.42349999999999993,-2945308126.499317
param_1,61,0.4269999999999999,0.434,0.43049999999999994,-2573572303.225646
param_1,62,0.434,0.4409999999999999,0.43749999999999994,-2777819268.942356
param_1,63,0.4409999999999999,0.448,0.44449999999999995,-2143558564.843883
param_1,64,0.448,0.455,0.4515,-2085699294.323761
param_1,65,0.455,0.462,0.4585,-1912139255.561174
param_1,66,0.462,0.469,0.4655,-2230165890.978493
param_1,67,0.469,0.4759999999999999,0.4724999999999999,-2230715361.524132
param_1,68,0.4759999999999999,0.483,0.4794999999999999,-1991407597.96522
param_1,69,0.483,0.49,0.4865,-1673834212.683471
param_1,70,0.49,0.4969999999999999,0.49349999999999994,-1682288924.770805
param_1,71,0.4969999999999999,0.504,0.5005,-1565945968.471786
param_1,72,0.504,0.5109999999999999,0.5075,-1085595447.928908
param_1,73,0.5109999999999999,0.518,0.5145,-1468518263.286551
param_1,74,0.518,0.525,0.5215000000000001,-1471652169.800538
param_1,75,0.525,0.5319999999999999,0.5285,-646655004.1630658
param_1,76,0.5319999999999999,0.539,0.5355,-801806855.449724
param_1,77,0.539,0.5459999999999999,0.5425,-916760902.4399034
param_1,78,0.5459999999999999,0.5529999999999999,0.5494999999999999,-536514867.4360499
param_1,79,0.5529999999999999,0.56,0.5565,-528943831.41546
param_1,80,0.56,0.567,0.5635,-648280937.0394137
param_1,81,0.567,0.574,0.5705,-688715623.5089631
param_1,82,0.574,0.581,0.5774999999999999,-345890150.0615015
param_1,83,0.581,0.588,0.5845,-675037985.3997543
param_1,84,0.588,0.595,0.5914999999999999,-290265466.6436904
param_1,85,0.595,0.602,0.5985,-605938846.4227482
param_1,86,0.602,0.609,0.6054999999999999,-420827672.6688336
param_1,87,0.609,0.616,0.6125,-172606437.4798096
param_1,88,0.616,0.623,0.6194999999999999,-180687773.7190313
param_1,89,0.623,0.6299999999999999,0.6265,-63200364.09370119
