0       24286
0.015625        23977
0.03125         23336
0.046875        23143
0.0625          22222
0.078125        21880
0.09375         20816
0.109375        20395
0.125           19572
0.140625        18700
0.15625         17751
0.171875        17043
0.1875          16560
0.203125        15789
0.21875         15558
0.234375        14653
0.25            14323
0.265625        14100
0.28125         14070
0.296875        14235
0.3125          14341
0.328125        14940
0.34375         15317
0.359375        16044
0.375           16836
0.390625        17675
0.40625         18265
0.421875        19130
0.4375          19940
0.453125        20202
0.46875         20851
0.484375        21049
0.5             21451
0.515625        21557
0.53125         21098
0.546875        21228
0.5625          20891
0.578125        20522
0.59375         20086
0.609375        19356
0.625           19073
0.640625        18619
0.65625         17770
0.671875        17368
0.6875          16673
0.703125        16490
0.71875         16138
0.734375        15821
0.75            15666
0.765625        15809
0.78125         16107
0.796875        16724
0.8125          17123
0.828125        17843
0.84375         18752
0.859375        19598
0.875           20398
0.890625        21415
0.90625         22134
0.921875        22837
0.9375          23199
0.953125        24018
0.96875         23952
0.984375        24488
